1	Bijan Robinson	ATL	11	2		8
2	Jahmyr Gibbs	DET	6	1		2
3	Ja'Marr Chase	CIN	6	3		4
4	James Cook III	BUF	7	7		8
5	Derrick Henry	BAL	13	13	▲	6
6	Amon-Ra St. Brown	DET	6	10		4
7	Puka Nacua	LAR	11	6		10
8	Omarion Hampton	LAC	7	12		6
9	Kenneth Walker	KC	5	17	▲	6
10	Jonathan Taylor	IND	13	4		4
11	CeeDee Lamb	DAL	14	14		8
12	Ashton Jeanty	LV	13	15		8
13	Nico Collins	HOU	8	26	▲	6
14	Jaxon Smith-Njigba	SEA	11	8		6
15	De'Von Achane	MIA	6	9		6
16	Saquon Barkley	PHI	10	11		4
17	Justin Jefferson	MIN	6	18		2
18	A.J. Brown	NE	11	22		8
19	Drake London	ATL	11	21		6
20	Javonte Williams	DAL	14	30	▲	4
21	Christian McCaffrey	SF	8	5		8
22	Malik Nabers	NYG	8	29	▲	4
23	Josh Jacobs	GB	11	32	▲	4
24	Josh Allen	BUF	7	19		6
25	Chase Brown	CIN	6	16		8
26	Kyren Williams	LAR	11	20		2
27	Jeremiyah Love	ARI	14	25		8
28	Rome Odunze	CHI	10	64	▲	6
29	George Pickens	DAL	14	28		8
30	Brock Bowers	LV	13	23		6
31	Davante Adams	LAR	11	51	▲	10
32	DeVonta Smith	PHI	10	39	▲	4
33	Chris Olave	NO	8	27		6
34	Mike Evans	SF	8	61	▲	8
35	Terry McLaurin	WAS	7	54	▲	8
36	DJ Moore	BUF	7	55	▲	4
37	Cam Skattebo	NYG	8	43		4
38	Lamar Jackson	BAL	13	36		6
39	David Montgomery	HOU	8	53	▲	4
40	Quinshon Judkins	CLE	11	44		6
41	Trey McBride	ARI	14	24		8
42	D'Andre Swift	CHI	10	42		8
43	Tee Higgins	CIN	6	34		4
44	Bhayshul Tuten	JAX	7	52	▲	4
45	Rashee Rice	KC	5	33		8
46	Emeka Egbuka	TB	10	50		4
47	Tetairoa McMillan	CAR	5	37		8
48	TreVeyon Henderson	NE	11	46		8
49	Zay Flowers	BAL	13	40		4
50	Tyler Warren	IND	13	58	▲	6
51	Jameson Williams	DET	6	56		4
52	Luther Burden III	CHI	10	45		6
53	Garrett Wilson	NYJ	13	38		4
54	Drake Maye	NE	11	57		8
55	Tony Pollard	TEN	9	71	▲	6
56	Marvin Harrison Jr.	ARI	14	81	▲	8
57	Caleb Williams	CHI	10	86	▲	6
58	DK Metcalf	PIT	9	78	▲	6
59	Rico Dowdle	PIT	9	70	▲	8
60	Travis Etienne Jr.	NO	8	35		6
61	Colston Loveland	CHI	10	47		8
62	Jalen Hurts	PHI	10	72	▲	2
63	Breece Hall	NYJ	13	31		6
64	Brian Thomas Jr.	JAX	7	79	▲	4
65	Courtland Sutton	DEN	10	75	▲	8
66	Joe Burrow	CIN	6	59		6
67	Christian Watson	GB	11	63		2
68	Ladd McConkey	LAC	7	49		8
69	Jaylen Waddle	DEN	10	48		8
70	Michael Pittman Jr.	PIT	9	105	▲	6
71	Chris Rodriguez Jr.	JAX	7	143	▲	4
72	Tucker Kraft	GB	11	73		8
73	Rhamondre Stevenson	NE	11	62		8
74	Jordan Mason	MIN	6	96	▲	4
75	Kenny Gainwell	TB	10	93	▲	8
76	Deebo Samuel Sr.	SF	8	139	▲	8
77	Jayden Daniels	WAS	7	66		8
78	Kyle Pitts Sr.	ATL	11	77		6
79	Stefon Diggs	WAS	7	114	▲	8
80	Michael Wilson	ARI	14	82		8
81	Jadarian Price	SEA	11	74		4
82	Jaylen Warren	PIT	9	60		8
83	Jaxson Dart	NYG	8	92	▲	4
84	Kyle Monangai	CHI	10	80		8
85	Jordan Addison	MIN	6	102	▲	2
86	Trevor Lawrence	JAX	7	90		4
87	Mike Washington Jr.	LV	13	147	▲	8
88	Wan'Dale Robinson	TEN	9	106	▲	6
89	Alec Pierce	IND	13	95		4
90	Justin Herbert	LAC	7	87		8
91	Bucky Irving	TB	10	41		8
92	Parker Washington	JAX	7	69		4
93	Jayden Reed	GB	11	117	▲	2
94	Jacory Croskey-Merritt	WAS	7	98		4
95	Carnell Tate	TEN	9	65		6
96	George Kittle	SF	8	97		6
97	Jakobi Meyers	JAX	7	94		4
98	Jonathon Brooks	CAR	5	116	▲	10
99	Jared Goff	DET	6	128	▲	2
100	Sam LaPorta	DET	6	84		6
101	Quentin Johnston	LAC	7	104		8
102	Chris Godwin Jr.	TB	10	88		4
103	Dak Prescott	DAL	14	91		8
104	Matthew Golden	GB	11	152	▲	2
105	Travis Kelce	KC	5	103		4
106	Dalton Kincaid	BUF	7	100		6
107	Zach Charbonnet	SEA	11	121	▲	4
108	Tyler Allgeier	ARI	14	109		8
109	Xavier Worthy	KC	5	127	▲	8
110	Jalen Coker	CAR	5	142	▲	8
111	De'Zhaun Stribling	SF	8	190	▲	8
112	Matthew Stafford	LAR	11	112		6
113	Chuba Hubbard	CAR	5	83		10
114	Mark Andrews	BAL	13	113		4
115	Tre' Harris	LAC	7	187	▲	8
116	Adonai Mitchell	NYJ	13	179	▲	4
117	Jake Ferguson	DAL	14	108		8
118	Bo Nix	DEN	10	118		6
119	Braelon Allen	NYJ	13	159	▲	6
120	Blake Corum	LAR	11	85		2
121	Aaron Jones Sr.	MIN	6	99		4
122	Isaiah Likely	NYG	8	115		6
123	Patrick Mahomes	KC	5	110		8
124	Makai Lemon	PHI	10	402	▲	4
125	Romeo Doubs	NE	11	124		8
126	Keenan Allen	IND	13	200	▲	4
127	J.K. Dobbins	DEN	10	76		8
128	Brock Purdy	SF	8	111		10
129	Dallas Goedert	PHI	10	101		4
130	Harold Fannin Jr.	CLE	11	68		6
131	Calvin Ridley	TEN	9	194	▲	6
132	Jerry Jeudy	CLE	11	176	▲	6
133	Rachaad White	WAS	7	119		4
134	Juwan Johnson	NO	8	125		8
135	Baker Mayfield	TB	10	144	▲	8
136	RJ Harvey	DEN	10	67		8
137	Ja'Kobi Lane	BAL	13	195	▲	4
138	Kayshon Boutte	HOU	8	170	▲	6
139	Josh Downs	IND	13	107		4
140	Zachariah Branch	ATL	11	212	▲	6
141	Ted Hurst III	TB	10	230	▲	4
142	KC Concepcion	CLE	11	133		6
143	Chig Okonkwo	WAS	7	155	▲	10
144	Emmett Johnson	KC	5	158	▲	6
145	Brian Robinson	ATL	11	123		8
146	Houston Texans	HOU	8			8
147	Jordan Love	GB	11	134		4
148	Tank Dell	HOU	8	193	▲	6
149	Nicholas Singleton	TEN	9	203	▲	6
150	Denver Broncos	DEN	10			4
151	Cameron Dicker	LAC	7	168	▲	8
152	Tyrone Tracy Jr.	NYG	8	126		4
153	Philadelphia Eagles	PHI	10			
154	Rashid Shaheed	SEA	11	161	▲	6
155	Khalil Shakir	BUF	7	129		4
156	Brandon Aubrey	DAL	14	138		8
157	Jordyn Tyson	NO	8	89		6
158	Jauan Jennings	MIN	6	145		2
159	Seattle Seahawks	SEA	11			8
160	Cam Little	JAX	7	180	▲	4
161	Malik Willis	MIA	6	153		6
162	Isiah Pacheco	DET	6	160		2
163	Kaytron Allen	WAS	7	198	▲	4
164	Baltimore Ravens	BAL	13			2
165	Sean Tucker	TB	10	185	▲	8
166	Ka'imi Fairbairn	HOU	8	177	▲	8
167	Tyquan Thornton	KC	5	342	▲	8
168	Cooper Kupp	SEA	11	219	▲	6
169	Cam Ward	TEN	9	199	▲	6
170	Los Angeles Rams	LAR	11			8
171	Harrison Butker	KC	5	225	▲	2
172	Wil Lutz	DEN	10	248	▲	10
173	Oronde Gadsden	LAC	7	120		4
174	Pittsburgh Steelers	PIT	9			2
175	Tyler Loop	BAL	13	209	▲	6
176	Jaylen Wright	MIA	6	210	▲	6
177	New England Patriots	NE	11			6
178	Minnesota Vikings	MIN	6			10
179	Tyler Bass	BUF	7	259	▲	8
180	MarShawn Lloyd	GB	11	394	▲	4
181	Denzel Boston	CLE	11	164		6
182	Eddy Piñeiro	SF	8	224	▲	2
183	C.J. Stroud	HOU	8	174		4
184	Jacksonville Jaguars	JAX	7			6
185	Jake Elliott	PHI	10	258	▲	2
186	Keaton Mitchell	LAC	7	154		6
187	Xavier Legette	CAR	5	596	▲	8
188	Atlanta Falcons	ATL	11			4
189	Carolina Panthers	CAR	5			6
190	Evan McPherson	CIN	6	254	▲	8
191	Kansas City Chiefs	KC	5			6
192	Dallas Cowboys	DAL	14			10
193	Cairo Santos	CHI	10	250	▲	
194	Chris Boswell	PIT	9	238	▲	4
195	Brenton Strange	JAX	7	130		6
196	Malachi Fields	NYG	8	228	▲	4
197	Green Bay Packers	GB	11			8
198	T.J. Hockenson	MIN	6	156		4
199	Harrison Mevis	LAR	11	178		8
200	Jaylin Noel	HOU	8	297	▲	6
