1. Christian McCaffrey, SF -- RB1, $57 (Bye: 9)
2. Breece Hall, NYJ -- RB2, $56 (Bye: 12)
3. Bijan Robinson, ATL -- RB3, $55 (Bye: 12)
4. CeeDee Lamb, DAL -- WR1, $55 (Bye: 7)
5. Tyreek Hill, MIA -- WR2, $54 (Bye: 6)
6. Ja'Marr Chase, CIN -- WR3, $53 (Bye: 12)
7. Amon-Ra St. Brown, DET -- WR4, $53 (Bye: 5)
8. Justin Jefferson, MIN -- WR5, $52 (Bye: 6)
9. Jonathan Taylor, IND -- RB4, $51 (Bye: 14)
10. Saquon Barkley, PHI -- RB5, $50 (Bye: 5)
11. A.J. Brown, PHI -- WR6, $48 (Bye: 5)
12. Puka Nacua, LAR -- WR7, $46 (Bye: 6)
13. Garrett Wilson, NYJ -- WR8, $45 (Bye: 12)
14. Jahmyr Gibbs, DET -- RB6, $43 (Bye: 5)
15. Kyren Williams, LAR -- RB7, $42 (Bye: 6)
16. Isiah Pacheco, KC -- RB8, $40 (Bye: 6)
17. Travis Etienne Jr., JAC -- RB9, $38 (Bye: 12)
18. Chris Olave, NO -- WR9, $37 (Bye: 12)
19. Davante Adams, LV -- WR10, $36 (Bye: 10)
20. Michael Pittman Jr., IND -- WR11, $35 (Bye: 14)
21. Mike Evans, TB -- WR12, $34 (Bye: 11)
22. Marvin Harrison Jr., ARI -- WR13, $33 (Bye: 11)
23. Drake London, ATL -- WR14, $32 (Bye: 12)
24. Derrick Henry, BAL -- RB10, $32 (Bye: 14)
25. Rachaad White, TB -- RB11, $31 (Bye: 11)
26. Nico Collins, HOU -- WR15, $30 (Bye: 14)
27. DK Metcalf, SEA -- WR16, $30 (Bye: 10)
28. Alvin Kamara, NO -- RB12, $29 (Bye: 12)
29. James Cook, BUF -- RB13, $28 (Bye: 12)
30. Joe Mixon, HOU -- RB14, $27 (Bye: 14)
31. Brandon Aiyuk, SF -- WR17, $26 (Bye: 9)
32. Deebo Samuel Sr., SF -- WR18, $25 (Bye: 9)
33. DJ Moore, CHI -- WR19, $24 (Bye: 7)
34. Stefon Diggs, HOU -- WR20, $23 (Bye: 14)
35. Josh Allen, BUF -- QB1, $22 (Bye: 12)
